date,close,vol,vol2,vol3,br,ar,mtm,mtma,rsi1,rsi2,kdj-j,hsl,mms
 2019/11/05,15.4,26263832,230044,210976,111.84,124.34,0.41,-0.04,67.72,65.37,87.51,3.23,64.28
 2019/11/06,15.46,15446458,219206,203158,108.4,119.76,0.47,0.12,69.39,66.59,90.84,1.9,67.18
 2019/11/07,15.46,16942570,218243,203550,114.67,132.93,0.47,0.25,69.39,66.59,91.21,2.08,66.14
 2019/11/08,15,19135256,211431,207457,100.98,113.04,-0.01,0.32,44.09,50.36,67.27,2.35,59.95
 2019/11/11,14.28,23740228,203057,207448,80.42,92.6,-0.83,0.17,26.17,35.56,18.96,2.92,47.66
 2019/11/12,14.41,14663706,179856,204950,82.5,89.29,-0.59,-0.01,32.15,39.09,6.11,1.8,36.92
 2019/11/13,14.36,10221541,169407,194306,82.41,88.48,-0.37,-0.14,30.99,38.21,-0.62,1.26,32.52
 2019/11/14,14.68,17425340,170372,194308,96.63,96.84,0.21,-0.19,45.94,46.58,13.22,2.14,37.44
 2019/11/15,14.5,11460109,155022,183226,92.1,92.69,-0.22,-0.3,40.08,43.01,13.26,1.41,39.34
 2019/11/18,14.51,11897249,131336,167196,89.72,89.44,-0.04,-0.31,40.58,43.27,15.37,1.46,41.7
 2019/11/19,15.96,57775824,217560,198708,120.77,116.42,0.91,-0.02,75.92,67.25,75.82,7.1,50.48
 2019/11/20,15.96,37223628,271564,220485,117.04,120.04,0.46,0.16,75.92,67.25,100.26,4.58,60.74
 2019/11/21,16.16,26158868,289031,229702,118.47,125.51,0.76,0.35,78.46,69.38,113.26,3.22,71.73
 2019/11/22,15.66,33740628,333592,244307,106.72,107.54,0.2,0.34,59.58,58.95,96.23,4.15,67.94
 2019/11/25,16.97,52915076,415628,273482,132.41,127.7,1.51,0.63,76.99,71.29,104.15,6.5,69.18
 2019/11/26,16.57,38777512,377631,297596,110.33,112.05,1.57,0.9,66.5,64.8,95.75,4.77,66.78
 2019/11/27,16.54,20181182,343547,307555,110.65,114.93,2.26,1.13,65.69,64.32,89.45,2.48,68.81
